time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-27T10:54:58.520Z,-4.1006,102.7375,103.14,4.8,mb,,84,2.291,1.05,us,us1000dt9m,2018-04-27T11:21:41.040Z,"59km W of Pagaralam, Indonesia",earthquake,8,7.4,0.082,46,reviewed,us,us
2018-04-27T10:38:17.810Z,-38.867,46.486,10,4.9,mb,,48,13.857,0.67,us,us1000dt9b,2018-04-27T11:00:45.040Z,"Southwest Indian Ridge",earthquake,4.7,1.9,0.083,46,reviewed,us,us
2018-04-27T08:44:49.670Z,10.2885,-67.9818,10,4.7,mb,,56,2.109,0.88,us,us1000dt7f,2018-04-27T14:35:41.237Z,"4km NW of San Diego, Venezuela",earthquake,6.8,1.9,0.063,76,reviewed,us,us
2018-04-27T05:55:53.710Z,22.4027,121.0829,10,4.5,mb,,101,0.413,0.67,us,us1000dt6f,2018-04-27T08:37:26.608Z,"39km S of Taitung City, Taiwan",earthquake,6,1.9,0.099,30,reviewed,us,us
2018-04-27T04:36:29.110Z,0.634,-83.4624,15.05,4.7,mb,,113,4.997,0.81,us,us1000dt67,2018-04-27T04:45:54.040Z,"Off the coast of Ecuador",earthquake,8.7,6.2,0.068,65,reviewed,us,us
2018-04-27T02:23:44.580Z,-54.0475,7.1367,10,5,mb,,135,18.216,0.98,us,us1000dt5p,2018-04-27T02:39:23.040Z,"249km E of Bouvet Island, Bouvet Island",earthquake,10.4,1.9,0.117,23,reviewed,us,us
2018-04-27T02:01:05.140Z,-24.327,-66.9088,163.77,5,mb,,44,1.797,0.98,us,us1000dt5j,2018-04-27T02:16:35.040Z,"61km WSW of San Antonio de los Cobres, Argentina",earthquake,7.4,5.7,0.034,267,reviewed,us,us
2018-04-27T00:27:47.560Z,79.4071,123.7654,10,4.7,mb,,57,7.915,0.85,us,us1000dt51,2018-04-27T01:02:26.040Z,"East of Severnaya Zemlya",earthquake,9.2,1.9,0.037,216,reviewed,us,us
2018-04-27T00:22:40.920Z,15.2403,-94.1944,35,4.6,mb,,145,2.235,0.84,us,us1000dt4w,2018-04-27T03:24:42.607Z,"94km SSW of Paredon, Mexico",earthquake,8.4,2,0.032,285,reviewed,us,us
2018-04-26T16:55:58.160Z,-1.8682,139.7908,6.46,5.4,mww,,27,7.573,0.98,us,us1000dstu,2018-04-26T21:50:10.040Z,"122km NW of Abepura, Indonesia",earthquake,7.2,3.1,0.063,24,reviewed,us,us
2018-04-26T12:55:21.300Z,-7.0789,-74.3748,169.73,4.6,mb,,95,1.778,1.16,us,us1000dsn8,2018-04-26T22:45:11.702Z,"76km ENE of Contamana, Peru",earthquake,8.7,7.7,0.03,323,reviewed,us,us
2018-04-26T09:54:19.830Z,-7.3343,115.5685,360.63,5,mb,,35,1.8,1.19,us,us1000dsku,2018-04-27T12:34:28.132Z,"98km N of Sukadana, Indonesia",earthquake,8.1,6.3,0.058,95,reviewed,us,us
2018-04-26T05:32:50.010Z,-30.6254,-71.195,59.22,5,mb,,63,0.382,0.88,us,us1000dsin,2018-04-27T01:34:55.390Z,"3km S of Ovalle, Chile",earthquake,6.2,4.3,0.029,367,reviewed,us,us
2018-04-26T05:02:12.840Z,2.9218,127.8581,87.02,4.5,mb,,114,2.191,0.41,us,us1000dsih,2018-04-26T05:28:43.040Z,"133km N of Tobelo, Indonesia",earthquake,4.5,8.2,0.081,44,reviewed,us,us
2018-04-25T23:28:11.880Z,-38.445,175.9003,170.45,4.6,mb,,90,0.779,0.94,us,us1000dse7,2018-04-25T23:44:22.040Z,"23km S of Tokoroa, New Zealand",earthquake,6.1,4.9,0.102,29,reviewed,us,us
2018-04-25T23:17:09.910Z,47.5243,154.0851,41.32,4.9,mb,,138,6.049,0.71,us,us1000dse2,2018-04-25T23:35:35.040Z,"Kuril Islands",earthquake,9.6,7,0.039,205,reviewed,us,us
2018-04-25T22:18:24.980Z,14.3144,-89.9849,191.27,4.9,mb,,128,0.61,1.04,us,us1000dsd7,2018-04-25T22:35:31.040Z,"7km NE of Quesada, Guatemala",earthquake,7.3,5.5,0.034,270,reviewed,us,us
2018-04-25T22:00:26.520Z,-17.7159,-178.8096,538.92,4.7,mb,,72,7.754,0.73,us,us1000dscy,2018-04-25T22:19:12.040Z,"240km SE of Lambasa, Fiji",earthquake,11.4,8.7,0.035,250,reviewed,us,us
2018-04-25T17:15:48.610Z,45.6325,26.3409,151.38,4.6,mb,,29,0.207,1.01,us,us1000ds5p,2018-04-26T15:38:44.049Z,"15km SSE of Comandau, Romania",earthquake,5.5,5.7,0.06,88,reviewed,us,us
2018-04-25T17:00:15.970Z,-3.8744,129.6874,10,5.1,mb,,41,2.727,0.97,us,us1000ds56,2018-04-25T17:39:07.040Z,"104km SE of Amahai, Indonesia",earthquake,6.8,1.8,0.064,79,reviewed,us,us
